Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
"Лед фруктово-ягодный ""Манго-малина""",134.0,80.0,4.8,5759.0,https://vkusvill.ru/goods/led-fruktovo-yagodnyy-mango-malina-46797.html,167.5
"Мороженое гранулированное ""Бабл-Гам""",156.0,80.0,4.8,11604.0,https://vkusvill.ru/goods/morozhenoe-granulirovannoe-babl-gam-43254.html,195.0
"Мороженое-торт ""Пралине"" с арахисом, 400&nbsp;г",549.0,400.0,4.7,474.0,https://vkusvill.ru/goods/morozhenoe-tort-praline-s-arakhisom-400-g-116427.html,137.25
Пломбир шоколадный в ваф. стаканчике,109.0,70.0,4.9,12879.0,https://vkusvill.ru/goods/plombir-shokoladnyy-v-vaf-stakanchike-18519.html,155.71
"Эскимо пломбир ванильный в молочном шоколаде, 70&nbsp;г",116.0,70.0,4.9,11381.0,https://vkusvill.ru/goods/eskimo-plombir-vanilnyy-v-molochnom-shokolade-70-g-106470.html,165.71
"Десерт кокосовый замороженный ""Гранат-Малина""",151.0,75.0,4.8,8279.0,https://vkusvill.ru/goods/desert-kokosovyy-zamorozhennyy-granat-malina-50622.html,201.33
"Мороженое протеин. ""Банан"" без сахара",155.0,75.0,4.8,5126.0,https://vkusvill.ru/goods/morozhenoe-protein-banan-bez-sakhara-20989.html,206.67
"Мороженое ""Ванильное"" без сахара",152.0,75.0,4.9,5924.0,https://vkusvill.ru/goods/morozhenoe-vanilnoe-bez-sakhara-17721.html,202.67
"Сорбет ""Малина-Личи""",168.0,75.0,4.8,5887.0,https://vkusvill.ru/goods/sorbet-malina-lichi-66501.html,224.0
Мороженое двухслойное во взбитой глазури,92.0,80.0,4.9,7213.0,https://vkusvill.ru/goods/morozhenoe-dvukhsloynoe-vo-vzbitoy-glazuri-106972.html,115.0
Пломбир ванил. с черносмород. джемом в ваф. рожке,169.0,130.0,4.9,11349.0,https://vkusvill.ru/goods/plombir-vanil-s-chernosmorod-dzhemom-v-vaf-rozhke-63032.html,130.0
"Мороженое ""Маршмеллоу с шокол. печеньем""",150.0,85.0,4.9,7710.0,https://vkusvill.ru/goods/morozhenoe-marshmellou-s-shokol-pechenem-21075.html,176.47
"Мороженое сливочное в рожке ""Ванильное""",107.0,70.0,4.8,8237.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-v-rozhke-vanilnoe-1743.html,152.86
Пломбир Крем-брюле в ваф.стаканчике,129.0,105.0,5.0,15992.0,https://vkusvill.ru/goods/plombir-krem-bryule-v-vaf-stakanchike-89771.html,122.86
"Пломбир двухслойный ""Ванильно-шок."" в ваф. рожке",144.0,110.0,4.9,9056.0,https://vkusvill.ru/goods/plombir-dvukhsloynyy-vanilno-shok-v-vaf-rozhke-74818.html,130.91
Пломбир ванильный и крем-брюле в ваф. стаканчике,120.0,105.0,5.0,14889.0,https://vkusvill.ru/goods/plombir-vanilnyy-i-krem-bryule-v-vaf-stakanchike-107189.html,114.29
Пломбир ванильный во взбитой глазури,135.0,80.0,4.8,8034.0,https://vkusvill.ru/goods/plombir-vanilnyy-vo-vzbitoy-glazuri-22859.html,168.75
Пломбир фисташковый в ваф. стаканчике,106.0,70.0,4.8,7059.0,https://vkusvill.ru/goods/plombir-fistashkovyy-v-vaf-stakanchike-18518.html,151.43
Сорбет из пюре смородины и яблока,137.0,75.0,4.9,4236.0,https://vkusvill.ru/goods/sorbet-iz-pyure-smorodiny-i-yabloka-88666.html,182.67
Эскимо пломбир с ванилью в клубничной желейной оболочке,109.0,80.0,4.9,4153.0,https://vkusvill.ru/goods/eskimo-plombir-s-vanilyu-v-klubnichnoy-zheleynoy-obolochke-89770.html,136.25
"Сорбет ""Клубника-Базилик""",144.0,75.0,4.9,5308.0,https://vkusvill.ru/goods/sorbet-klubnika-bazilik-17724.html,192.0
"Мороженое ""Джелато с Брауни и грецким орехом""",435.0,330.0,4.8,4455.0,https://vkusvill.ru/goods/morozhenoe-dzhelato-s-brauni-i-gretskim-orekhom-73153.html,131.82
Пломбир шоколадный во взбитой глазури,142.0,80.0,4.8,8850.0,https://vkusvill.ru/goods/plombir-shokoladnyy-vo-vzbitoy-glazuri-22858.html,177.5
"Мороженое с протеином ""Солёная карамель с арахисом""",158.0,75.0,4.8,3885.0,https://vkusvill.ru/goods/morozhenoe-s-proteinom-solyenaya-karamel-s-arakhisom-74620.html,210.67
Пломбир шоколадный с фундуком и соленой карамелью в ваф. стаканчике,135.0,90.0,4.9,7365.0,https://vkusvill.ru/goods/plombir-shokoladnyy-s-fundukom-i-solenoy-karamelyu-v-vaf-stakanchike-75444.html,150.0
Пломбир шоколадный с крошкой печенья в ваф. рожке,137.0,100.0,4.9,7467.0,https://vkusvill.ru/goods/plombir-shokoladnyy-s-kroshkoy-pechenya-v-vaf-rozhke-64557.html,137.0
"Мороженое ""Джиандуйя"" фундучно-шоколад.",148.0,85.0,5.0,5339.0,https://vkusvill.ru/goods/morozhenoe-dzhianduyya-funduchno-shokolad-22578.html,174.12
Мороженое творожное во взбитой глазури,142.0,80.0,4.7,8004.0,https://vkusvill.ru/goods/morozhenoe-tvorozhnoe-vo-vzbitoy-glazuri-26796.html,177.5
"Мороженое протеин. ""Мятная тыква"" без сахара",152.0,75.0,4.7,4444.0,https://vkusvill.ru/goods/morozhenoe-protein-myatnaya-tykva-bez-sakhara-31138.html,202.67
"Мороженое ""Шоколадное"" без доб. сахара",157.0,80.0,4.9,6615.0,https://vkusvill.ru/goods/morozhenoe-shokoladnoe-bez-dob-sakhara-69112.html,196.25
Пломбир с изюмом в ваф. стаканчике,116.0,70.0,4.8,6758.0,https://vkusvill.ru/goods/plombir-s-izyumom-v-vaf-stakanchike-27027.html,165.71
