,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽",Необычный вкус,ПП,Вафельный стаканчик,Рожок,Сорбет/лёд,Эскимо,Пломбир,Большая порция,Стаканчик (не вафельный),Топ-ниши,score,Премия по цене,Относит. популярность,Главная ниша,Вторая ниша
77,"Лед ""Вишня""",74.0,50.0,4.8,4212.0,https://vkusvill.ru/goods/led-vishnya-106472.html,148.0,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.9429840939480649,0.8617721880861274,1.0941151991917908,Сорбет/лёд,Стаканчик (не вафельный)
78,Мороженое пломбир с фейхоа,138.0,75.0,4.7,530.0,https://vkusvill.ru/goods/morozhenoe-plombir-s-feykhoa-107684.html,184.0,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",0.9380617157117531,1.2734882816298747,0.7382026050487733,Пломбир,Стаканчик (не вафельный)
79,Мороженое крем-брюле со сгущ. молоком и грецкими орехами,498.0,400.0,4.8,1452.0,https://vkusvill.ru/goods/morozhenoe-krem-bryule-so-sgushch-molokom-i-gretskimi-orekhami-61191.html,124.5,False,False,False,False,False,False,False,True,False,['Большая порция'],0.9343683713584215,0.94446973145198,0.9893047286141938,Большая порция,
80,Пломбир ванильный брикет на вафлях 20%,93.0,80.0,4.9,16777.0,https://vkusvill.ru/goods/plombir-vanilnyy-briket-na-vaflyakh-20-106473.html,116.25,False,False,False,False,False,False,True,False,False,['Пломбир'],0.9320160777182825,0.8230088495575221,1.1324496428189885,Пломбир,
81,"Сорбет ""Зеленый чай-Ананас-Имбирь"", 75&nbsp;г",120.0,75.0,4.8,2023.0,https://vkusvill.ru/goods/sorbet-zelenyy-chay-ananas-imbir-75-g-106692.html,160.0,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.9298953448449018,0.9316456087417593,0.9980090748173246,Сорбет/лёд,Стаканчик (не вафельный)
82,"Мороженое ""Протеиновое"" с фруктозой, соленой карамелью",158.0,75.0,4.9,1366.0,https://vkusvill.ru/goods/morozhenoe-proteinovoe-s-fruktozoy-solenoy-karamelyu-106933.html,210.67,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",0.9248694797567937,1.0512784787374267,0.8791912066805638,ПП,Стаканчик (не вафельный)
83,"Мороженое-торт ""Карелия"" с клюквой и морошкой, 400&nbsp;г",549.0,400.0,4.8,679.0,https://vkusvill.ru/goods/morozhenoe-tort-kareliya-s-klyukvoy-i-moroshkoy-400-g-116426.html,137.25,False,False,False,False,False,False,False,True,False,['Большая порция'],0.9226438051350144,1.0411925352753755,0.8861413944837713,Большая порция,
84,"Пломбир с прослойками шоколада ""Суфле"" (рулет), 380&nbsp;г",447.0,380.0,4.7,2081.0,https://vkusvill.ru/goods/plombir-s-prosloykami-shokolada-sufle-rulet-380-g-114339.html,117.63,False,False,False,False,False,False,True,True,False,"['Большая порция', 'Пломбир']",0.9078555783933383,0.8863957641353253,1.023311022756923,Большая порция,Пломбир
85,"Мороженое ""Молочный шоколад""",888.0,700.0,4.9,1031.0,https://vkusvill.ru/goods/morozhenoe-molochnyy-shokolad-21074.html,126.86,False,False,False,False,False,False,False,True,False,['Большая порция'],0.9073445424024993,0.962372932787134,0.9428200975839307,Большая порция,
86,"Мороженое ""Джелато с кленовым сиропом и пеканом""",527.0,330.0,4.9,2215.0,https://vkusvill.ru/goods/morozhenoe-dzhelato-s-klenovym-siropom-i-pekanom-73584.html,159.7,True,False,False,False,False,False,False,True,False,"['Необычный вкус', 'Большая порция']",0.8994092757834856,0.9356227680117655,0.9584035959939404,Необычный вкус,Большая порция
87,"Мороженое эскимо пломбир ""Малина"" в белом шоколаде с кусочками малины",142.0,60.0,4.8,245.0,https://vkusvill.ru/goods/morozhenoe-eskimo-plombir-malina-v-belom-shokolade-s-kusochkami-maliny-118517.html,236.67,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",0.8976066671116258,1.330710296294059,0.6755292038116253,Эскимо,Пломбир
88,"Пломбир ""Апельсин с корицей"" в ваф. рожке в мол. шоколаде",89.0,70.0,4.8,5377.0,https://vkusvill.ru/goods/plombir-apelsin-s-koritsey-v-vaf-rozhke-v-mol-shokolade-111464.html,127.14,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.8899808490979938,0.9252368968412893,0.9620097645050222,Рожок,Пломбир
89,Фисташковый пломбир в вафельном рожке 12%,158.0,100.0,4.8,998.0,https://vkusvill.ru/goods/fistashkovyy-plombir-v-vafelnom-rozhke-12-119590.html,158.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.8892682410881845,1.149814611459208,0.7734935940366393,Рожок,Пломбир
90,Пломбир ванильный и крем-брюле в ваф. стаканчике,120.0,105.0,5.0,14889.0,https://vkusvill.ru/goods/plombir-vanilnyy-i-krem-bryule-v-vaf-stakanchike-107189.html,114.29,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",0.887094647081442,0.8156347029077118,1.0876400626376532,Вафельный стаканчик,Пломбир
91,Пломбир сэндвич ванильный с кусочками печенья,89.0,80.0,4.9,14929.0,https://vkusvill.ru/goods/plombir-sendvich-vanilnyy-s-kusochkami-pechenya-107316.html,111.25,False,False,False,False,False,False,True,False,False,['Пломбир'],0.8812296957988498,0.7876106194690266,1.1188646699468543,Пломбир,
92,"Сорбет ""Малиновый"" без доб.сахара",162.0,80.0,4.9,1186.0,https://vkusvill.ru/goods/sorbet-malinovyy-bez-dob-sakhara-101649.html,202.5,False,True,False,False,True,False,False,False,True,"['ПП', 'Сорбет/лёд']",0.8805466839394624,1.0178951045726232,0.8638505922760321,ПП,Сорбет/лёд
93,"Мороженое-торт ""Пралине"" с арахисом, 400&nbsp;г",549.0,400.0,4.7,474.0,https://vkusvill.ru/goods/morozhenoe-tort-praline-s-arakhisom-400-g-116427.html,137.25,False,False,False,False,False,False,False,True,False,['Большая порция'],0.8718894991244086,1.0411925352753755,0.837395073038831,Большая порция,
94,"Сорбет ""Черная и красная смородина""",122.0,75.0,4.9,1081.0,https://vkusvill.ru/goods/sorbet-chernaya-i-krasnaya-smorodina-90768.html,162.67,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.8676391928239798,0.9471924448376373,0.9159085103099756,Сорбет/лёд,Стаканчик (не вафельный)
95,Пломбир шоколадный с крошкой печенья в ваф. рожке,137.0,100.0,4.9,7467.0,https://vkusvill.ru/goods/plombir-shokoladnyy-s-kroshkoy-pechenya-v-vaf-rozhke-64557.html,137.0,True,False,False,True,False,False,True,False,False,"['Необычный вкус', 'Рожок']",0.8667565995572777,0.7987023290077633,1.0878223333384673,Необычный вкус,Рожок
96,"Мороженое пломбир ""Кукис"" с голубой спирулиной",134.0,75.0,4.9,911.0,https://vkusvill.ru/goods/morozhenoe-plombir-kukis-s-goluboy-spirulinoy-106469.html,178.67,True,False,False,False,False,False,True,False,True,"['Необычный вкус', 'Пломбир']",0.8651251911533278,1.0377120727983546,0.8346888820893735,Необычный вкус,Пломбир
97,"Мороженое ""Соленая карамель-шок. трюфель""",430.0,330.0,4.9,8652.0,https://vkusvill.ru/goods/morozhenoe-solenaya-karamel-shok-tryufel-27955.html,130.3,True,False,False,False,False,False,False,True,False,"['Необычный вкус', 'Большая порция']",0.8635959082837112,0.7633791275637637,1.1278780602428704,Необычный вкус,Большая порция
98,"Сорбет ""Юдзу""",140.0,80.0,4.7,634.0,https://vkusvill.ru/goods/sorbet-yudzu-110708.html,175.0,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.8622032891559192,1.0189873845612993,0.8460422001535232,Сорбет/лёд,Стаканчик (не вафельный)
99,"Мороженое сливочное ""Лимонное""",150.0,80.0,4.8,663.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-limonnoe-88968.html,187.5,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.8618834614261965,1.0302197802197801,0.8366015465576948,Стаканчик (не вафельный),
100,Пломбир шоколадный в ваф.рожке,137.0,100.0,4.9,2155.0,https://vkusvill.ru/goods/plombir-shokoladnyy-v-vaf-rozhke-64579.html,137.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.8569544804504645,0.9969911504424779,0.8596431610024129,Рожок,Пломбир
101,Пломбир двухслойный с ароматом ванили и шоколадный,122.0,105.0,4.9,8441.0,https://vkusvill.ru/goods/plombir-dvukhsloynyy-s-aromatom-vanili-i-shokoladnyy-65898.html,116.19,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",0.8534937139772596,0.8041663230574734,1.0636373020892065,Пломбир,Стаканчик (не вафельный)
102,Пломбир сэндвич ванильный в печенье,89.0,80.0,4.9,8530.0,https://vkusvill.ru/goods/plombir-sendvich-vanilnyy-v-pechene-107319.html,111.25,False,False,False,False,False,False,True,False,False,['Пломбир'],0.8299147694587901,0.7876106194690266,1.0537120106611604,Пломбир,
103,"Пломбир ""Черная смородина"" в ваф. стаканчике",114.0,90.0,4.9,3291.0,https://vkusvill.ru/goods/plombir-chernaya-smorodina-v-vaf-stakanchike-91659.html,126.67,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",0.8287570139270548,0.9039850189633376,0.9168048808239668,Вафельный стаканчик,Пломбир
104,"Мороженое ""Кофейное"" без доб. сахара",153.0,80.0,4.9,1220.0,https://vkusvill.ru/goods/morozhenoe-kofeynoe-bez-dob-sakhara-101101.html,191.25,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",0.8264790082859068,0.9543694358880377,0.8654380119756775,ПП,Стаканчик (не вафельный)
105,"Мороженое ""Молочный Улун"" с миндалем",144.0,75.0,4.8,431.0,https://vkusvill.ru/goods/morozhenoe-molochnyy-ulun-s-mindalem-107315.html,192.0,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.8241873996604363,1.054945054945055,0.7812609725947885,Стаканчик (не вафельный),
106,"Мороженое ""Джелато с Брауни и грецким орехом""",435.0,330.0,4.8,4455.0,https://vkusvill.ru/goods/morozhenoe-dzhelato-s-brauni-i-gretskim-orekhom-73153.html,131.82,True,False,False,False,False,False,False,True,False,"['Необычный вкус', 'Большая порция']",0.8097127967637439,0.7722842409474697,1.0453113936248166,Необычный вкус,Большая порция
107,Мороженое ванильное без доб. сахара в ваф. стаканчике,100.0,75.0,4.9,17928.0,https://vkusvill.ru/goods/morozhenoe-vanilnoe-bez-dob-sakhara-v-vaf-stakanchike-106248.html,133.33,False,True,True,False,False,False,False,False,False,"['ПП', 'Вафельный стаканчик']",0.8068658488573006,0.6873164366422546,1.1770150974026357,ПП,Вафельный стаканчик
108,"Мороженое сливочное ""Джелато банан-шоколад""",129.0,85.0,5.0,1918.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-dzhelato-banan-shokolad-73580.html,151.76,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",0.801632758142534,0.8573631953132151,0.9351140405238323,Необычный вкус,Стаканчик (не вафельный)
109,Эскимо пломбир с ванилью в клубничной желейной оболочке,109.0,80.0,4.9,4153.0,https://vkusvill.ru/goods/eskimo-plombir-s-vanilyu-v-klubnichnoy-zheleynoy-obolochke-89770.html,136.25,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",0.7820529097156851,0.7660847503699901,1.0223530455645276,Эскимо,Пломбир
110,"Мороженое сливочное ""Мятное с Брауни""",425.0,330.0,4.9,3363.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-myatnoe-s-brauni-73187.html,128.79,True,False,False,False,False,False,False,True,False,"['Необычный вкус', 'Большая порция']",0.7646315718591641,0.7545326004523186,1.0103365665878592,Необычный вкус,Большая порция
111,Пломбир шоколадный,410.0,400.0,4.9,1571.0,https://vkusvill.ru/goods/plombir-shokoladnyy-108826.html,102.5,False,False,False,False,False,False,True,True,False,"['Большая порция', 'Пломбир']",0.7619939025787307,0.7723843052271602,0.9856815183015545,Большая порция,Пломбир
112,"Мороженое ""Лимонное"" без доб. сахара",147.0,80.0,4.8,857.0,https://vkusvill.ru/goods/morozhenoe-limonnoe-bez-dob-sakhara-101097.html,183.75,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",0.7546495476755122,0.9169431835002714,0.8224766006814933,ПП,Стаканчик (не вафельный)
113,"Мороженое молочное ""Малина с фисташковым пралине""",572.0,250.0,4.6,23.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-malina-s-fistashkovym-praline-118730.html,228.8,False,False,False,False,False,False,False,True,False,['Большая порция'],0.7494661325999906,1.735700197238659,0.43179469230476725,Большая порция,
114,Пломбир Малина в молочном шоколаде в вафельном стаканчике,158.0,110.0,4.7,636.0,https://vkusvill.ru/goods/plombir-malina-v-molochnom-shokolade-v-vafelnom-stakanchike-118396.html,143.64,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",0.7492026441287343,1.02509203539823,0.7308821834092358,Вафельный стаканчик,Пломбир
115,"Мороженое ""Фисташковое"", 85&nbsp;г",160.0,85.0,4.5,255.0,https://vkusvill.ru/goods/morozhenoe-fistashkovoe-85-g-85074.html,188.24,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.7383734517516728,1.0342857142857143,0.7138969837378052,Стаканчик (не вафельный),
116,"Пломбир ""Манго-маракуйя"" в ваф. рожке",146.0,130.0,4.8,2992.0,https://vkusvill.ru/goods/plombir-mango-marakuyya-v-vaf-rozhke-106617.html,112.31,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.7325358359666756,0.8173144241328081,0.8963785882380629,Рожок,Пломбир
117,"Сорбет ""Облепиха""",150.0,80.0,4.8,165.0,https://vkusvill.ru/goods/sorbet-oblepikha-112472.html,187.5,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.7317436799366057,1.0917721977442492,0.6701593904760791,Сорбет/лёд,Стаканчик (не вафельный)
118,Мороженое двухслойное во взбитой глазури,92.0,80.0,4.9,7213.0,https://vkusvill.ru/goods/morozhenoe-dvukhsloynoe-vo-vzbitoy-glazuri-106972.html,115.0,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.7226770960463282,0.6318681318681318,1.1437150563515803,Стаканчик (не вафельный),
119,"Мороженое сливочное с черной смородиной, 130&nbsp;г",150.0,130.0,4.9,6305.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-s-chernoy-smorodinoy-130-g-116880.html,115.38,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.7140858236509365,0.6339560439560439,1.1263964283625452,Стаканчик (не вафельный),
120,Пломбир с ванилью,212.0,230.0,4.9,13301.0,https://vkusvill.ru/goods/plombir-s-vanilyu-101816.html,92.17,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",0.7111013705482675,0.6379207332490519,1.1171305094719997,Пломбир,Стаканчик (не вафельный)
121,Пломбир крем-брюле,212.0,230.0,4.9,10097.0,https://vkusvill.ru/goods/plombir-krem-bryule-101815.html,92.17,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",0.6904642591081686,0.6379207332490519,1.0847098901736105,Пломбир,Стаканчик (не вафельный)
122,Мороженое пломбир в темном шоколаде,307.0,120.0,4.6,23.0,https://vkusvill.ru/goods/morozhenoe-plombir-v-temnom-shokolade-58336.html,255.83,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",0.6605855195952979,1.770633190703102,0.37388630972872217,Пломбир,Стаканчик (не вафельный)
123,"Мороженое ""Карамельное"" без доб. сахара",376.0,310.0,4.9,4621.0,https://vkusvill.ru/goods/morozhenoe-karamelnoe-bez-dob-sakhara-115432.html,121.29,False,True,False,False,False,False,False,True,False,"['ПП', 'Большая порция']",0.6554118992506693,0.6306263307916242,1.0335398960271214,ПП,Большая порция
124,Мороженое молочное с вишней в ваф. стаканчике,88.0,90.0,4.8,4077.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-s-vishney-v-vaf-stakanchike-36871.html,97.78,False,False,True,False,False,False,False,False,False,['Вафельный стаканчик'],0.6551747077218443,0.6984285714285714,0.938069739016754,Вафельный стаканчик,
125,"Мороженое сливочное ""Мятное с шоколадом""",139.0,80.0,4.7,212.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-myatnoe-s-shokoladom-69106.html,173.75,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",0.6509024959670252,0.9815949867268788,0.6631893805654892,Необычный вкус,Стаканчик (не вафельный)
126,Сорбет из клюквы и брусники,120.0,100.0,5.0,1178.0,https://vkusvill.ru/goods/sorbet-iz-klyukvy-i-brusniki-101239.html,120.0,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.6479139142672781,0.6987342065563195,0.9271637856508947,Сорбет/лёд,Стаканчик (не вафельный)
127,"Сорбет ""Киви""",157.0,80.0,4.8,74.0,https://vkusvill.ru/goods/sorbet-kivi-91457.html,196.25,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.6468576465877091,1.142721566972314,0.5660039347405039,Сорбет/лёд,Стаканчик (не вафельный)
128,"Мороженое молочное протеиновое ""Ванильное""",115.0,75.0,4.9,931.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-proteinovoe-vanilnoe-106547.html,153.33,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",0.6374291570182548,0.7651423038154919,0.8325500900307286,ПП,Стаканчик (не вафельный)
129,"Мороженое молочное ""Клубника"" в вафельном стаканчике",98.0,80.0,4.8,611.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-klubnika-v-vafelnom-stakanchike-118731.html,122.5,False,False,True,False,False,False,False,False,False,['Вафельный стаканчик'],0.6335492922545529,0.875,0.7240563340052033,Вафельный стаканчик,
130,"Пломбир ""Мини-сэндвич"" с ароматом ванили",27.0,30.0,4.8,4112.0,https://vkusvill.ru/goods/plombir-mini-sendvich-s-aromatom-vanili-64039.html,90.0,False,False,False,False,False,False,True,False,False,['Пломбир'],0.617277100278849,0.6371681415929203,0.9687821157154158,Пломбир,
131,Пломбир с черной смородиной и черносмородиновым соком,85.0,70.0,4.6,391.0,https://vkusvill.ru/goods/plombir-s-chernoy-smorodinoy-i-chernosmorodinovym-sokom-106041.html,121.43,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",0.5891263391880651,0.8404330545560634,0.7024969282722202,Пломбир,Стаканчик (не вафельный)
132,"Пломбир ""Грецкий орех, фундук и карамель"" в ваф. рожке",82.0,100.0,4.7,1253.0,https://vkusvill.ru/goods/plombir-gretskiy-orekh-funduk-i-karamel-v-vaf-rozhke-88638.html,82.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.4767100648997875,0.5967392287319941,0.7989534838645936,Рожок,Пломбир
133,Эскимо пломбир с маком и кунжутом в молочном шоколаде,74.0,80.0,4.8,1706.0,https://vkusvill.ru/goods/eskimo-plombir-s-makom-i-kunzhutom-v-molochnom-shokolade-106618.html,92.5,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",0.47426331505101627,0.52009423419614,0.9132276867594107,Эскимо,Пломбир
134,"Десерт взбитый замороженный из маракуйи, пюре манго и семян чиа",92.0,70.0,4.7,163.0,https://vkusvill.ru/goods/desert-vzbityy-zamorozhennyy-iz-marakuyi-pyure-mango-i-semyan-chia-107597.html,131.43,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.4741350053404101,0.7221428571428572,0.6565667729738616,Стаканчик (не вафельный),
135,Мороженое с кусочками манго,223.0,350.0,4.6,1345.0,https://vkusvill.ru/goods/morozhenoe-s-kusochkami-mango-99299.html,63.71,False,False,False,False,False,False,False,True,False,['Большая порция'],0.47311841719775205,0.4833105750265514,0.9789117839429865,Большая порция,
136,Эскимо пломбир грейпфрут в темном шоколаде,88.0,80.0,4.6,401.0,https://vkusvill.ru/goods/eskimo-plombir-greypfrut-v-temnom-shokolade-88434.html,110.0,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",0.45440848734198575,0.6184904406656802,0.7357919280029954,Эскимо,Пломбир
137,"Мороженое ""Сливочное""",137.0,80.0,4.7,32.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-91459.html,171.25,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.42355885240683117,0.9409340659340659,0.4501472183243403,Стаканчик (не вафельный),
138,"Десерт фруктово-ягодный ""Малина""",88.0,92.0,4.7,195.0,https://vkusvill.ru/goods/desert-fruktovo-yagodnyy-malina-89054.html,95.65,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.38541773524352163,0.5569493904759331,0.6919379015242035,Сорбет/лёд,Стаканчик (не вафельный)
139,Пломбир из козьего молока с шоколадным топпингом,80.0,70.0,4.9,51.0,https://vkusvill.ru/goods/plombir-iz-kozego-moloka-s-shokoladnym-toppingom-89060.html,114.29,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",0.36690901345057164,0.791016172323252,0.46484924788623266,Пломбир,Стаканчик (не вафельный)
140,Эскимо пломбир ванильный с воздушным рисом в белом шок.,113.0,80.0,4.7,40.0,https://vkusvill.ru/goods/eskimo-plombir-vanilnyy-s-vozdushnym-risom-v-belom-shok-88679.html,141.25,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",0.36135968095585913,0.79419795221843,0.4556721725375621,Эскимо,Пломбир
141,Эскимо пломбир голубика-ежевика в молочном шоколаде,88.0,80.0,4.7,50.0,https://vkusvill.ru/goods/eskimo-plombir-golubika-ezhevika-v-molochnom-shokolade-88430.html,110.0,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",0.2979520075962405,0.6184904406656802,0.48245287715457863,Эскимо,Пломбир
142,Пломбир с манго и яблоком в ваф. рожке,57.0,100.0,4.7,265.0,https://vkusvill.ru/goods/plombir-s-mango-i-yablokom-v-vaf-rozhke-89566.html,57.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.25934790709558764,0.4148065370454105,0.6253007042498366,Рожок,Пломбир
143,"Десерт фруктово-ягодный ""Вишня-кола""",88.0,92.0,4.9,32.0,https://vkusvill.ru/goods/desert-fruktovo-yagodnyy-vishnya-kola-89055.html,95.65,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.2553214760587874,0.5569493904759331,0.4583769510413288,Сорбет/лёд,Стаканчик (не вафельный)
144,"Пломбир ""Банан с клубникой"" в глазир. темн. шок. ваф. рожке",69.0,100.0,4.6,37.0,https://vkusvill.ru/goods/plombir-banan-s-klubnikoy-v-glazir-temn-shok-vaf-rozhke-88640.html,69.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.2045333059802858,0.5021342290549707,0.40737650061107944,Рожок,Пломбир
145,Лёд из пюре Дыни,20.0,50.0,4.8,42.0,https://vkusvill.ru/goods/lyed-iz-pyure-dyni-90663.html,40.0,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.11485617060997609,0.23291140218543982,0.4930769949671782,Сорбет/лёд,Стаканчик (не вафельный)
146,Эскимо пломбир с ванилью в банановой желейной оболочке,22.0,80.0,4.7,40.0,https://vkusvill.ru/goods/eskimo-plombir-s-vanilyu-v-bananovoy-zheleynoy-obolochke-89772.html,27.5,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",0.0703532122214947,0.15462261016642004,0.4556721725375621,Эскимо,Пломбир
147,Пломбир Крем-брюле в плоском ваф. стаканчике с какао,12.0,80.0,4.7,123.0,https://vkusvill.ru/goods/plombir-krem-bryule-v-ploskom-vaf-stakanchike-s-kakao-89748.html,15.0,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",0.05840799228264579,0.10704804045512009,0.5456378503879746,Вафельный стаканчик,Пломбир
