Название,"Цена за 100 г, ₽","Вес, г",Кол-во отзывов,Рейтинг,Источник
"пер. Мороженое Minimelts сорбет вишнёвый, 72г",527.76,72.0,78,4.73,пер.
"пер. Мороженое Minimelts сорбет манго, 72г",527.76,72.0,60,4.83,пер.
"пер. Сорбет Малина-Личи Зелёная Линия, 300г",264.0,300.0,471,4.76,пер.
"пер. Десерт сорбет Малиновый замороженный Зелёная Линия, 75г",130.76,130.0,3054,4.84,пер.
"пер. Десерт сорбет Манго-груша замороженный Зелёная Линия, 75г",115.38,130.0,2258,4.68,пер.
"пер. Сорбет Amore из маракуйи, 100мл",158.99,100.0,1141,4.81,пер.
"пер. Сорбет Грейпфрут взбитый замороженный Зелёная Линия, 75г",159.99,75.0,20,4.5,пер.
"пер. Сорбет Смородина-Яблоко взбитый Зелёная Линия, 300г",140.0,300.0,7,4.57,пер.
