Ниша,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Большие порции,"Мороженое M&MS двухслойное молочное арахисовое и сливочно-шоколадное с драже 8%, 295г","Цена719,99 ₽",295 гр,4.74,754 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-m-ms-dvuhslojnoe-molocnoe-arahisovoe-i-slivocno-sokoladnoe-s-draze-8-295g-4282844,
Большие порции,"Мороженое Шоколадное Джелато с Брауни молочное 4.5% Зелёная Линия, 600г","Цена1 055,99 ₽",600 гр,4.9,422 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-sokoladnoe-dzelato-s-brauni-molocnoe-4-5-zelenaa-linia-600g-4347032,
Большие порции,"Мороженое Сливочная Ириска пломбир 15% Зелёная Линия, 600г","Цена1 055,99 ₽",600 гр,4.73,292 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnaa-iriska-plombir-15-zelenaa-linia-600g-4347031,
Большие порции,"Сорбет Малина-Личи Зелёная Линия, 300г","Цена791,99 ₽",300 гр,4.76,471 оценка,https://www.perekrestok.ru/cat/1601/p/sorbet-malina-lici-zelenaa-linia-300g-4210653,
Большие порции,"Мороженое Haagen-Dazs Пломбир солёная карамель 12.01%, 400г","Цена999,99 ₽",400 гр,4.9,42 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-haagen-dazs-plombir-solenaa-karamel-12-01-400g-4412971,
Большие порции,"Десерт Tonitto Итальянское Мороженое Крема замороженный, 500г","Цена999,99 ₽",1000 мл,4.58,144 оценки,https://www.perekrestok.ru/cat/321/p/desert-tonitto-italanskoe-morozenoe-krema-zamorozennyj-500g-4288016,
Большие порции,"Мороженое Binggrae Мелона Спелая дынька пинта молочное 5.8%, 600г","Цена1 049,99 ₽",600 гр,5,18 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-binggrae-melona-spelaa-dynka-pinta-molocnoe-5-8-600g-4412487,
Большие порции,"Мороженое Monterra Peach Bellini Персиковый беллини с кусочками персика с взрывной карамелью в шоколаде 10%, 293г",Цена1 049 ₽,293 гр,4.66,83 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-monterra-peach-bellini-persikovyj-bellini-s-kusockami-persika-s-vzryvnoj-karamelu-v-sokolade-10-293g-4433083,
Большие порции,"Мороженое Sammontana Gelato Merenda итальянское, 360г","Цена999,99 ₽",360 гр,4.67,39 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-sammontana-gelato-merenda-italanskoe-360g-4389267,
Большие порции,"Пирожные Lotte Zero охлаждённые, 247.6г","Цена999,99 ₽",247 гр,5,9 оценок,https://www.perekrestok.ru/cat/421/p/piroznye-lotte-zero-ohlazdennye-247-6g-4431499,
Большие порции,"Мороженое Binggrae Мелона клубника пинта молочное 5.3%, 600г","Цена1 049,99 ₽",600 гр,4.83,6 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-binggrae-melona-klubnika-pinta-molocnoe-5-3-600g-4412486,
Большие порции,"МороженоеTonitto Genovese ванильно-шоколадное с вишнёвыми прослойками и цукатами вишни, 500г",Цена1 299 ₽,1000 мл,4.67,84 оценки,https://www.perekrestok.ru/cat/321/p/morozenoetonitto-genovese-vanilno-sokoladnoe-s-visnevymi-proslojkami-i-cukatami-visni-500g-4389265,
Большие порции,"Мороженое-конфеты Lotte Тико, 410г","Цена879,99 ₽",369 мл,4.67,64 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-konfety-lotte-tiko-410g-4151669,
Большие порции,"Мороженое пломбир Чистая Линия ванильный апельсин-шоколадная глазурь 12%, 450г","Цена1 213,99 ₽",450 гр,4.92,66 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-cistaa-linia-vanilnyj-apelsin-sokoladnaa-glazur-12-450g-3693491,
Большие порции,"Мороженое Доброе пломбир с пастой фундука, 120г","Цена399,99 ₽",120 гр,4.68,44 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-dobroe-plombir-s-pastoj-funduka-120g-4429702,
Большие порции,"Мороженое Oatly! Шоколадная Помадка овсяное безлактозное, 340г","Цена879,99 ₽",500 мл,4.58,164 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-oatly-sokoladnaa-pomadka-ovsanoe-bezlaktoznoe-340g-4346046,
Большие порции,"Пломбир Monterra ванильный ведёрко 14%, 252г","Цена539,99 ₽",480 мл,4.73,192 оценки,https://www.perekrestok.ru/cat/321/p/plombir-monterra-vanilnyj-vederko-14-252g-4252322,
Большие порции,"Мороженое Aice Моти Ваниль 4.1%, 180г","Цена699,99 ₽",180 гр,4.89,9 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-moti-vanil-4-1-180g-4418630,
Большие порции,"Мороженое Alcreme сливочное Б-52 виски-апельсин-кофе, 300г","Цена599,99 ₽",300 гр,4.6,103 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-alcreme-slivocnoe-b-52-viski-apelsin-kofe-300g-4380636,
Большие порции,"Мороженое Oatly! Завиток с Фундуком овсяное безлактозное, 340г","Цена879,99 ₽",500 мл,4.72,161 оценка,https://www.perekrestok.ru/cat/321/p/morozenoe-oatly-zavitok-s-fundukom-ovsanoe-bezlaktoznoe-340g-4345027,
Шоколадное,"Пломбир Коровка из Кореновки шоколадный стаканчик, 100г","Цена89,99 ₽",100 мл,4.96,14947 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-sokoladnyj-stakancik-100g-3409340,
Шоколадное,"Пломбир Филевская Лакомка в шоколадной глазури 15%, 90г","Цена83,99 ₽",90 гр,4.91,12048 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-filevskaa-lakomka-v-sokoladnoj-glazuri-15-90g-66259,
Шоколадное,"Мороженое молочное Maxiduo Страчателла ваниль и кусочки тёмного шоколада 6%, 92г","Цена125,99 ₽",140 мл,4.9,8692 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-maxiduo-stracatella-vanil-i-kusocki-temnogo-sokolada-6-92g-4236165,
Шоколадное,"Пломбир Чистая Линия ванильный в шоколадной глазури рожок 12%, 70г","Цена139,99 ₽",70 гр,4.88,3595 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-rozok-12-70g-3958194,
Шоколадное,"Эскимо Milka сливочное ванильное с шоколадным соусом в молочном шоколаде 8%, 62г","Цена161,99 ₽",62 гр,4.92,7043 оценки,https://www.perekrestok.ru/cat/1601/p/eskimo-milka-slivocnoe-vanilnoe-s-sokoladnym-sousom-v-molocnom-sokolade-8-62g-4047712,
Шоколадное,"Мороженое сливочное Айсберри Филевская лакомка шоколадное во взбитой глазури 10%, 90г","Цена83,99 ₽",90 гр,4.87,3797 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-ajsberri-filevskaa-lakomka-sokoladnoe-vo-vzbitoj-glazuri-10-90g-3956288,
Шоколадное,"Мороженое сливочное 48 Копеек шоколадное с шоколадным соусом 8%, 232г","Цена179,99 ₽",232 гр,4.91,4951 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-48-kopeek-sokoladnoe-s-sokoladnym-sousom-8-232g-4048583,
Шоколадное,"Пломбир Чистая Линия Московская лакомка шоколадный, 80г","Цена179,99 ₽",80 гр,4.89,1711 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-moskovskaa-lakomka-sokoladnyj-80g-2186404,
Шоколадное,"Пломбир Чистая Линия шоколадный 12%, 200г","Цена279,99 ₽",200 гр,4.9,1226 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-sokoladnyj-12-200g-3693343,
Шоколадное,"Пломбир Чистая Линия ванильный в шоколадной глазури 12%, 80г","Цена189,99 ₽",80 гр,4.87,1654 оценки,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-12-80g-3953742,
Шоколадное,"Мороженое Aice Моти Шоколад 3.15%, 45мл","Цена99,99 ₽",45 мл,4.71,58 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-moti-sokolad-3-15-45ml-4389053,
Шоколадное,"Эскимо Alpen Gold сливочное с какао в молочном шоколаде двухслойное, 58г","Цена164,99 ₽",58 гр,4.89,2560 оценок,https://www.perekrestok.ru/cat/1601/p/eskimo-alpen-gold-slivocnoe-s-kakao-v-molocnom-sokolade-dvuhslojnoe-58g-4020807,
Шоколадное,Мороженое-пирожное Жемчужинка шоколадно-вишнёвая пломбир 2%,"Цена279,99 ₽",100 гр,5,4 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-piroznoe-zemcuzinka-sokoladno-visnevaa-plombir-2-4408699,
Фруктовое,"Лёд фруктовый Бон Пари Взрывной ураган со взрывной карамелью 2.9%, 54мл","Цена69,99 ₽",54 мл,4.93,12201 оценка,https://www.perekrestok.ru/cat/1601/p/led-fruktovyj-bon-pari-vzryvnoj-uragan-so-vzryvnoj-karamelu-2-9-54ml-3423233,
Фруктовое,"Мороженое сливочное Sunreme малина-банан рожок в глазури 8%, 78г","Цена79,99 ₽",120 мл,4.91,7091 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-sunreme-malina-banan-rozok-v-glazuri-8-78g-4239014,
Фруктовое,"Лёд фруктовый Бон Пари Арбузик, 67г","Цена69,99 ₽",73 мл,4.88,7437 оценок,https://www.perekrestok.ru/cat/1601/p/led-fruktovyj-bon-pari-arbuzik-67g-4212279,
Фруктовое,"Мороженое Эkzo молочное с кусочками дыни в замороженной глазури с соком арбуза 2%, 70г","Цена98,99 ₽",70 гр,4.9,991 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-ekzo-molocnoe-s-kusockami-dyni-v-zamorozennoj-glazuri-s-sokom-arbuza-2-70g-4284849,
Фруктовое,"Сорбет Грейпфрут взбитый замороженный Зелёная Линия, 75г","Цена119,99 ₽",75 гр,4.5,20 оценок,https://www.perekrestok.ru/cat/421/p/sorbet-grejpfrut-vzbityj-zamorozennyj-zelenaa-linia-75g-4430481,
Фруктовое,"Десерт сорбет Малиновый замороженный Зелёная Линия, 75г","Цена169,99 ₽",130 мл,4.84,3054 оценки,https://www.perekrestok.ru/cat/1601/p/desert-sorbet-malinovyj-zamorozennyj-zelenaa-linia-75g-4096150,
Фруктовое,"Мороженое молочное Эkzo Драгонфрут-гуанабана карамбола-ната де коко 2%, 70г","Цена99,99 ₽",70 гр,4.86,1972 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-ekzo-dragonfrut-guanabana-karambola-nata-de-koko-2-70g-4041767,
Фруктовое,"Мороженое сливочное клубника со сливками 10% Зелёная Линия, 75г","Цена154,99 ₽",130 мл,4.84,2490 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-klubnika-so-slivkami-10-zelenaa-linia-75g-4096146,
