,Название,"Цена, ₽","Вес, г","Цена за 100 г, ₽",Рейтинг,Кол-во отзывов,Ссылка,Большие порции,Стаканчики и рожки,Сэндвичи и брикет,Фруктовое,Шоколадное,Эскимо и батончики,ПП,Ценовая премия,Относительная популярность,Score
63,"Мороженое Bahroma Чизкейк Гранат-Малина пломбир с печеньем и наполнителем с кусочками сушёной малины 12%, 320г",479.99,320.0,150.0,4.83,834,https://www.perekrestok.ru/cat/1601/p/morozenoe-bahroma-cizkejk-granat-malina-plombir-s-pecenem-i-napolnitelem-s-kusockami-susenoj-maliny-12-320g-4385164,True,False,False,False,False,False,False,0.938,1.093,0.99
64,Мороженое Магнат Gold Эскимо сливочное Крем-чиз и соленая карамель 8% БЗМЖ 65г,209.99,65.0,323.06,4.91,117,https://www.perekrestok.ru/cat/421/p/morozenoe-magnat-gold-eskimo-slivocnoe-krem-ciz-i-solenaa-karamel-8-bzmz-65g-4428940,False,False,False,False,False,True,False,1.452,0.694,0.99
65,"Пломбир Чистая Линия Семейное ванильный 12%, 450г",569.99,440.0,129.54,4.9,2128,https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-semejnoe-vanilnyj-12-450g-3334702,True,False,False,False,False,False,False,0.81,1.245,0.988
66,"Мороженое Binggrae Сэндвич рыбка шоколадный 8.96%, 90г",269.99,90.0,299.99,4.65,57,https://www.perekrestok.ru/cat/421/p/morozenoe-binggrae-sendvic-rybka-sokoladnyj-8-96-90g-4431838,False,False,True,False,False,False,False,2.029,0.522,0.985
67,"Мороженое Соленая карамель с шоколадным трюфелем пломбир 15% Зелёная Линия, 300г",399.99,300.0,133.33,4.88,1720,https://www.perekrestok.ru/cat/1601/p/morozenoe-solenaa-karamel-s-sokoladnym-trufelem-plombir-15-zelenaa-linia-300g-4210650,True,False,False,False,False,False,False,0.833,1.21,0.984
68,"Мороженое Aice Моти Шоколад 3.15%, 45мл",99.99,45.0,222.2,4.71,58,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-moti-sokolad-3-15-45ml-4389053,False,False,False,False,True,False,False,0.885,1.177,0.981
69,"Мороженое Sammontana Gelato Merenda итальянское, 360г",999.99,360.0,277.78,4.67,39,https://www.perekrestok.ru/cat/421/p/morozenoe-sammontana-gelato-merenda-italanskoe-360g-4389267,True,False,False,False,False,False,False,1.736,0.599,0.971
70,"Мороженое Maxi Duo Карамельный сэндвич в сахарном печенье 6%, 94г",138.99,94.0,147.86,4.84,2396,https://www.perekrestok.ru/cat/321/p/morozenoe-maxi-duo-karamelnyj-sendvic-v-saharnom-pecene-6-94g-4343388,False,False,True,False,False,False,False,1.0,1.0,0.968
71,"Мороженое Bahroma Медовик пломбир с грецким орехом, печеньем и фундучным пралине 12%, 320г",479.99,320.0,150.0,4.74,799,https://www.perekrestok.ru/cat/321/p/morozenoe-bahroma-medovik-plombir-s-greckim-orehom-pecenem-i-funducnym-praline-12-320g-4385162,True,False,False,False,False,False,False,0.938,1.086,0.966
72,"Мороженое Шоколадное Джелато с пеканом молочное 6% Зелёная Линия, 300г",499.99,300.0,166.66,4.87,351,https://www.perekrestok.ru/cat/1601/p/morozenoe-sokoladnoe-dzelato-s-pekanom-molocnoe-6-zelenaa-linia-300g-4385703,True,False,False,False,False,False,False,1.042,0.952,0.966
73,"Мороженое Чистая линия Спиролло эскимо с шариками с ароматом граната 12%, 70г",158.99,70.0,227.13,4.77,904,https://www.perekrestok.ru/cat/421/p/morozenoe-cistaa-linia-spirollo-eskimo-s-sarikami-s-aromatom-granata-12-70g-4433297,False,False,False,False,False,True,False,1.021,0.991,0.965
74,"Мороженое Сливочная Ириска пломбир 15% Зелёная Линия, 600г",1055.99,600.0,176.0,4.73,292,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnaa-iriska-plombir-15-zelenaa-linia-600g-4347031,True,False,False,False,False,False,False,1.1,0.923,0.96
75,"Пломбир Коровка из Кореновки с шоколадной крошкой 15%, 80г",99.99,80.0,124.99,4.95,5397,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-s-sokoladnoj-kroskoj-15-80g-4153779,False,True,False,False,False,False,False,0.892,1.084,0.957
76,"Пломбир Чистая Линия ванильный 12%, 200г",269.99,200.0,135.0,4.91,3822,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-12-200g-3693306,False,False,True,False,False,False,False,0.913,1.06,0.95
77,"Пирожные Lotte Zero охлаждённые, 247.6г",999.99,247.0,404.85,5.0,9,https://www.perekrestok.ru/cat/421/p/piroznye-lotte-zero-ohlazdennye-247-6g-4431499,True,False,False,False,False,False,False,2.53,0.374,0.946
78,"Мороженое-конфеты Lotte Тико, 410г",879.99,369.0,238.48,4.67,64,https://www.perekrestok.ru/cat/321/p/morozenoe-konfety-lotte-tiko-410g-4151669,True,False,False,False,False,False,False,1.49,0.678,0.944
79,"Мороженое Коровка Из Кореновки пломбир фисташковый с катаифи 15%, 70г",199.99,70.0,285.7,4.83,181,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-fistaskovyj-s-kataifi-15-70g-4431812,False,False,False,False,False,True,False,1.284,0.757,0.939
80,"Мороженое Айскро Банан с протеином без сахара 2%, 310г",459.99,310.0,148.38,4.54,600,https://www.perekrestok.ru/cat/421/p/morozenoe-ajskro-banan-s-proteinom-bez-sahara-2-310g-4380433,True,False,False,False,False,False,True,0.843,1.221,0.935
81,"Мороженое Haagen-Dazs Пломбир солёная карамель 12.01%, 400г",999.99,400.0,250.0,4.9,42,https://www.perekrestok.ru/cat/321/p/morozenoe-haagen-dazs-plombir-solenaa-karamel-12-01-400g-4412971,True,False,False,False,False,False,False,1.562,0.611,0.935
82,"Эскимо Чистая Линия пломбир ванильное в апельсиновом соке в глазури 12%, 70г",119.99,70.0,171.41,4.93,4660,https://www.perekrestok.ru/cat/1601/p/eskimo-cistaa-linia-plombir-vanilnoe-v-apelsinovom-soke-v-glazuri-12-70g-3650693,False,False,False,False,False,True,False,0.77,1.23,0.934
83,"Мороженое Oatly! Завиток с Фундуком овсяное безлактозное, 340г",879.99,500.0,176.0,4.72,161,https://www.perekrestok.ru/cat/321/p/morozenoe-oatly-zavitok-s-fundukom-ovsanoe-bezlaktoznoe-340g-4345027,True,False,False,False,False,False,True,1.0,0.971,0.917
84,"Мороженое сливочное 48 копеек Шоколадная Прага с кусочками шоколада и бисквита 8%, 432г",503.99,432.0,116.66,4.89,2680,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-48-kopeek-sokoladnaa-praga-s-kusockami-sokolada-i-biskvita-8-432g-4051008,True,False,False,False,False,False,False,0.729,1.282,0.914
85,"Десерт сорбет Малиновый замороженный Зелёная Линия, 75г",169.99,130.0,130.76,4.84,3054,https://www.perekrestok.ru/cat/1601/p/desert-sorbet-malinovyj-zamorozennyj-zelenaa-linia-75g-4096150,False,True,False,False,False,False,False,0.933,1.012,0.914
86,"Пломбир 48 копеек 12%, 419г",503.99,419.0,120.28,4.87,1914,https://www.perekrestok.ru/cat/321/p/plombir-48-kopeek-12-419g-4048083,True,False,False,False,False,False,False,0.752,1.227,0.899
87,"Мороженое Айскро Финик-миндаль без сахара, 310г",459.99,310.0,148.38,4.69,377,https://www.perekrestok.ru/cat/1601/p/morozenoe-ajskro-finik-mindal-bez-sahara-310g-4377431,False,True,False,False,False,False,True,0.843,1.133,0.896
88,"Мороженое Oatly! Шоколадная Помадка овсяное безлактозное, 340г",879.99,500.0,176.0,4.58,164,https://www.perekrestok.ru/cat/321/p/morozenoe-oatly-sokoladnaa-pomadka-ovsanoe-bezlaktoznoe-340g-4346046,True,False,False,False,False,False,True,1.0,0.975,0.893
89,"Пломбир 48 Копеек ванильный в глазури с миндалём обжаренным в сахаре рожок 12%, 106г",139.99,106.0,132.07,4.82,2409,https://www.perekrestok.ru/cat/1601/p/plombir-48-kopeek-vanilnyj-v-glazuri-s-mindalem-obzarennym-v-sahare-rozok-12-106g-4048090,False,True,False,False,False,False,False,0.942,0.982,0.892
90,"Мороженое Aice Моти Ваниль 4.1%, 180г",699.99,180.0,388.88,4.89,9,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-moti-vanil-4-1-180g-4418630,True,False,False,False,False,False,False,2.43,0.374,0.889
91,"Мороженое сливочное Monterra Belgium Chocolate с бельгийским шоколадом и шоколадным соусом 10.5%, 276г",589.99,480.0,122.91,4.9,1375,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-monterra-belgium-chocolate-s-belgijskim-sokoladom-i-sokoladnym-sousom-10-5-276g-4252323,True,False,False,False,False,False,False,0.768,1.174,0.884
92,"Мороженое Магнат Брюнетка сливочное эскимо в молочном шоколаде грецкий орех-кешью-кукурузные хлопья, 67г",164.99,67.0,246.25,4.85,279,https://www.perekrestok.ru/cat/421/p/morozenoe-magnat-brunetka-slivocnoe-eskimo-v-molocnom-sokolade-greckij-oreh-kesu-kukuruznye-hlopa-67g-4428941,False,False,False,False,False,True,False,1.107,0.82,0.881
93,"Мороженое Lotte Крутой бар со вкусом клубники и яблока, 80г",175.99,80.0,219.99,4.89,471,https://www.perekrestok.ru/cat/1601/p/morozenoe-lotte-krutoj-bar-so-vkusom-klubniki-i-abloka-80g-4248452,False,False,False,False,False,True,False,0.989,0.896,0.867
94,"Мороженое Alcreme сливочное Б-52 виски-апельсин-кофе, 300г",599.99,300.0,200.0,4.6,103,https://www.perekrestok.ru/cat/421/p/morozenoe-alcreme-slivocnoe-b-52-viski-apelsin-kofe-300g-4380636,True,False,False,False,False,False,False,1.25,0.754,0.867
95,"Мороженое Коровка Из Кореновки пломбир шоколадный с вишней и крошкой шоколадного печенья 15%, 300г",399.99,300.0,133.33,4.89,686,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-sokoladnyj-s-visnej-i-kroskoj-sokoladnogo-pecena-15-300g-4428363,True,False,False,False,False,False,False,0.833,1.061,0.864
96,"Мороженое Bombbar Клубника со сливками молочное-протеиновое с белой шоколадной крошкой 6%, 90г",149.99,90.0,166.66,4.77,142,https://www.perekrestok.ru/cat/421/p/morozenoe-bombbar-klubnika-so-slivkami-molocnoe-proteinovoe-s-beloj-sokoladnoj-kroskoj-6-90g-4429414,False,True,False,False,False,False,True,0.947,0.947,0.856
97,"Мороженое Binggrae Сэндвич рыбка со сливочным кремом в вафле, 90г",339.99,150.0,226.66,4.62,108,https://www.perekrestok.ru/cat/321/p/morozenoe-binggrae-sendvic-rybka-so-slivocnym-kremom-v-vafle-90g-4408951,False,False,True,False,False,False,False,1.533,0.603,0.854
98,"Мороженое Snaq Fabriq Эскимо пломбир с тестом катаифи и фисташкой в шоколаде 12%, 80г",219.99,80.0,274.99,4.72,151,https://www.perekrestok.ru/cat/321/p/morozenoe-snaq-fabriq-eskimo-plombir-s-testom-kataifi-i-fistaskoj-v-sokolade-12-80g-4420735,False,False,False,False,False,True,False,1.236,0.731,0.853
99,"Мороженое Snaq Fabriq Эскимо пломбир с миндалём в шоколаде, 70г",134.99,70.0,192.84,4.76,1199,https://www.perekrestok.ru/cat/1601/p/morozenoe-snaq-fabriq-eskimo-plombir-s-mindalem-v-sokolade-70g-4377376,False,False,False,False,False,True,False,0.867,1.032,0.852
100,"Десерт Seoju Эскимо молочный чай замороженный, 65г",135.99,65.0,209.22,4.67,777,https://www.perekrestok.ru/cat/321/p/desert-seoju-eskimo-molocnyj-caj-zamorozennyj-65g-4248465,False,False,False,False,False,True,False,0.94,0.969,0.851
101,"Пломбир Чистая Линия шоколадный 12%, 200г",279.99,200.0,140.0,4.9,1226,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-sokoladnyj-12-200g-3693343,False,False,True,False,False,False,False,0.947,0.914,0.848
102,"Пломбир Филевское Пралине с грецким орехом и мягкой карамелью 12%, 550г",585.99,550.0,106.54,4.93,2761,https://www.perekrestok.ru/cat/1601/p/plombir-filevskoe-praline-s-greckim-orehom-i-magkoj-karamelu-12-550g-3956289,True,False,False,False,False,False,False,0.666,1.287,0.845
103,"Мороженое пломбир Monterra Mango&Cream с манговым наполнителем и кусочками манго 12.5%, 281г",589.99,480.0,122.91,4.87,968,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-monterra-mango-cream-s-mangovym-napolnitelem-i-kusockami-mango-12-5-281g-4252344,True,False,False,False,False,False,False,0.768,1.117,0.836
104,"Пломбир Коровка Из Кореновки с шоколадной стружкой, 400г",389.99,400.0,97.5,4.93,4661,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-s-sokoladnoj-struzkoj-400g-3409352,True,False,False,False,False,False,False,0.609,1.372,0.824
105,"Мороженое Brand Ice Миндально-фисташковое сливочное с ароматом фисташек с орехами миндаля 10%, 500г",799.99,500.0,160.0,4.85,186,https://www.perekrestok.ru/cat/421/p/morozenoe-brand-ice-mindalno-fistaskovoe-slivocnoe-s-aromatom-fistasek-s-orehami-mindala-10-500g-4432540,True,False,False,False,False,False,False,1.0,0.85,0.824
106,"Мороженое Brand Ice Пралине сливочное ваниль с карамелизированными орехами пекан в пралине с карамелью 10%, 500г",799.99,500.0,160.0,4.63,226,https://www.perekrestok.ru/cat/421/p/morozenoe-brand-ice-praline-slivocnoe-vanil-s-karamelizirovannymi-orehami-pekan-v-praline-s-karamelu-10-500g-4422834,True,False,False,False,False,False,False,1.0,0.881,0.816
107,"Десерт Binggrae Melona спелая дынька замороженный, 75г",119.99,70.0,171.41,4.93,1583,https://www.perekrestok.ru/cat/1601/p/desert-binggrae-melona-spelaa-dynka-zamorozennyj-75g-4151682,False,False,False,False,False,True,False,0.77,1.072,0.814
108,"Мороженое сливочное клубника со сливками 10% Зелёная Линия, 75г",154.99,130.0,119.22,4.84,2490,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-klubnika-so-slivkami-10-zelenaa-linia-75g-4096146,False,True,False,False,False,False,False,0.851,0.986,0.812
109,"Мороженое сливочное Monterra Black Forest Cake двухслойное шоколадное с вишней и кусочками печенья 9%, 300г",589.99,480.0,122.91,4.86,797,https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-monterra-black-forest-cake-dvuhslojnoe-sokoladnoe-s-visnej-i-kusockami-pecena-9-300g-4252342,True,False,False,False,False,False,False,0.768,1.085,0.81
110,"Мороженое Maxiduo Вафельный Mix с какао и вафельным соусом с кусочками шоколада 8%, 80г",99.99,80.0,124.99,4.82,1488,https://www.perekrestok.ru/cat/1601/p/morozenoe-maxiduo-vafelnyj-mix-s-kakao-i-vafelnym-sousom-s-kusockami-sokolada-8-80g-4398956,False,True,False,False,False,False,False,0.892,0.922,0.793
111,"Лёд фруктовый Бон Пари Взрывной ураган со взрывной карамелью 2.9%, 54мл",69.99,54.0,129.61,4.93,12201,https://www.perekrestok.ru/cat/1601/p/led-fruktovyj-bon-pari-vzryvnoj-uragan-so-vzryvnoj-karamelu-2-9-54ml-3423233,False,False,False,False,False,True,False,0.583,1.37,0.788
112,"Пломбир Коровка из Кореновки стаканчик 15%, 100г",89.99,100.0,89.99,4.96,17864,https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-stakancik-15-100g-3371923,False,True,False,False,False,False,False,0.642,1.235,0.787
113,"Мороженое Коровка Из Кореновки Крем-брюле Солёная карамель-Грецкий орех 15%, 300г",399.99,300.0,133.33,4.85,383,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-krem-brule-solenaa-karamel-greckij-oreh-15-300g-4428746,True,False,False,False,False,False,False,0.833,0.966,0.781
114,"Десерт Seoju Эскимо со вкусом мяты замороженный, 70г",135.99,70.0,194.27,4.69,681,https://www.perekrestok.ru/cat/321/p/desert-seoju-eskimo-so-vkusom-maty-zamorozennyj-70g-4248463,False,False,False,False,False,True,False,0.873,0.95,0.778
115,"Эскимо Oreo сливочное с дробленым печеньем в глазури 8%, 56г",120.99,56.0,216.05,4.84,287,https://www.perekrestok.ru/cat/321/p/eskimo-oreo-slivocnoe-s-droblenym-pecenem-v-glazuri-8-56g-4051277,False,False,False,False,False,True,False,0.971,0.824,0.775
116,"Пломбир Коровка из Кореновки шоколадный стаканчик, 100г",89.99,100.0,89.99,4.96,14947,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-sokoladnyj-stakancik-100g-3409340,False,True,False,False,False,False,False,0.642,1.213,0.773
117,"Мороженое Коровка из Кореновки пломбир ванильный в молочной шоколадной глазури 15%, 70г",129.99,70.0,185.7,4.92,628,https://www.perekrestok.ru/cat/1601/p/morozenoe-korovka-iz-korenovki-plombir-vanilnyj-v-molocnoj-sokoladnoj-glazuri-15-70g-4400378,False,False,False,False,False,True,False,0.835,0.938,0.771
118,"Пломбир Коровка Из Кореновки Полено, 400г",349.99,400.0,87.5,4.93,6356,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-poleno-400g-3409349,True,False,False,False,False,False,False,0.547,1.422,0.767
119,"Пломбир Вологодский Пломбир стаканчик 15%, 100г",98.99,100.0,98.99,4.92,6158,https://www.perekrestok.ru/cat/321/p/plombir-vologodskij-plombir-stakancik-15-100g-3603591,False,True,False,False,False,False,False,0.706,1.101,0.765
120,"Мороженое Свитлогорье пломбир с ароматом ванили в какао-молочной глазури с миндалем 15%, 80г",129.99,80.0,162.49,4.87,1571,https://www.perekrestok.ru/cat/1601/p/morozenoe-svitlogore-plombir-s-aromatom-vanili-v-kakao-molocnoj-glazuri-s-mindalem-15-80g-4345012,False,False,False,False,False,True,False,0.73,1.071,0.762
121,"Пломбир Коровка из Кореновки крем-брюле стаканчик, 100г",89.99,100.0,89.99,4.95,13031,https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-krem-brule-stakancik-100g-3409339,False,True,False,False,False,False,False,0.642,1.195,0.76
122,"Мороженое сливочное Мятное с брауни 10% Зелёная Линия, 75г",139.99,130.0,107.68,4.84,3145,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-matnoe-s-brauni-10-zelenaa-linia-75g-4096144,False,True,False,False,False,False,False,0.768,1.016,0.755
123,"Десерт сорбет Манго-груша замороженный Зелёная Линия, 75г",149.99,130.0,115.38,4.68,2258,https://www.perekrestok.ru/cat/1601/p/desert-sorbet-mango-grusa-zamorozennyj-zelenaa-linia-75g-4096149,False,True,False,False,False,False,False,0.823,0.974,0.75
124,"Десерт Binggrae Melona банан замороженный, 75г",119.99,70.0,171.41,4.84,1002,https://www.perekrestok.ru/cat/321/p/desert-binggrae-melona-banan-zamorozennyj-75g-4151683,False,False,False,False,False,True,False,0.77,1.006,0.75
125,"Мороженое молочное Amore Джелато страчателла с тёмным шоколадом 6%, 300мл",379.99,300.0,126.66,4.71,446,https://www.perekrestok.ru/cat/321/p/morozenoe-molocnoe-amore-dzelato-stracatella-s-temnym-sokoladom-6-300ml-3622056,True,False,False,False,False,False,False,0.792,0.991,0.739
126,"Мороженое Свитлогорье пломбир эскимо ванильный с арахисом и карамельным наполнителем глазури 15%, 80г",119.99,80.0,149.99,4.92,2033,https://www.perekrestok.ru/cat/1601/p/morozenoe-svitlogore-plombir-eskimo-vanilnyj-s-arahisom-i-karamelnym-napolnitelem-glazuri-15-80g-4278655,False,False,False,False,False,True,False,0.674,1.109,0.736
127,"Десерт Lotte Эскимо арбуз замороженный, 80г",119.99,72.0,166.65,4.76,933,https://www.perekrestok.ru/cat/1601/p/desert-lotte-eskimo-arbuz-zamorozennyj-80g-4151681,False,False,False,False,False,True,False,0.749,0.996,0.71
128,"Мороженое молочное Эkzo ванильное с добавлением сока арбуза и дыни 2%, 520г",478.99,520.0,92.11,4.88,2364,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-ekzo-vanilnoe-s-dobavleniem-soka-arbuza-i-dyni-2-520g-3940513,True,False,False,False,False,False,False,0.576,1.262,0.709
129,"Сорбет Amore из маракуйи, 100мл",158.99,100.0,158.99,4.81,1141,https://www.perekrestok.ru/cat/1601/p/sorbet-amore-iz-marakuji-100ml-4267868,False,False,False,False,False,True,False,0.715,1.025,0.705
130,"Эскимо Свитлогорье пломбир ванильное в глазури 15%, 80г",109.99,80.0,137.49,4.87,3054,https://www.perekrestok.ru/cat/1601/p/eskimo-svitlogore-plombir-vanilnoe-v-glazuri-15-80g-3628052,False,False,False,False,False,True,False,0.618,1.168,0.703
131,"Мороженое молочное Maxiduo Страчателла ваниль и кусочки тёмного шоколада 6%, 92г",125.99,140.0,89.99,4.9,8692,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-maxiduo-stracatella-vanil-i-kusocki-temnogo-sokolada-6-92g-4236165,False,False,True,False,False,False,False,0.609,1.166,0.696
132,"Мороженое молочное Эkzo Драгонфрут-гуанабана карамбола-ната де коко 2%, 70г",99.99,70.0,142.84,4.86,1972,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-ekzo-dragonfrut-guanabana-karambola-nata-de-koko-2-70g-4041767,False,False,False,False,False,True,False,0.642,1.104,0.689
133,"Эскимо пломбир с ванилью в шоколадной сливочной глазури 15% Молочный Знак, 80г",104.99,80.0,131.24,4.86,2892,https://www.perekrestok.ru/cat/1601/p/eskimo-plombir-s-vanilu-v-sokoladnoj-slivocnoj-glazuri-15-molocnyj-znak-80g-4311103,False,False,False,False,False,True,False,0.59,1.16,0.665
134,"Пломбир 48 копеек 12%, 210г",179.99,210.0,85.71,4.91,5989,https://www.perekrestok.ru/cat/1601/p/plombir-48-kopeek-12-210g-4048085,False,False,True,False,False,False,False,0.58,1.118,0.637
135,"Мороженое Эkzo молочное с кусочками дыни в замороженной глазури с соком арбуза 2%, 70г",98.99,70.0,141.41,4.9,991,https://www.perekrestok.ru/cat/1601/p/morozenoe-ekzo-molocnoe-s-kusockami-dyni-v-zamorozennoj-glazuri-s-sokom-arbuza-2-70g-4284849,False,False,False,False,False,True,False,0.636,1.004,0.626
136,"Мороженое Вологодский Пломбир ванильное 15%, 250г",209.99,250.0,84.0,4.91,5543,https://www.perekrestok.ru/cat/1601/p/morozenoe-vologodskij-plombir-vanilnoe-15-250g-3603592,False,False,True,False,False,False,False,0.568,1.108,0.618
137,"Мороженое Lotte Мелония Двойная Клубника эскимо 1,6%, 75г",119.99,75.0,159.99,4.84,311,https://www.perekrestok.ru/cat/1601/p/morozenoe-lotte-melonia-dvojnaa-klubnika-eskimo-1-6-75g-4365374,False,False,False,False,False,True,False,0.719,0.836,0.582
138,"Мороженое пломбир с ароматом ванили во взбитой шоколадной глазури 15% Молочный Знак, 80г",93.99,80.0,117.49,4.88,2209,https://www.perekrestok.ru/cat/1601/p/morozenoe-plombir-s-aromatom-vanili-vo-vzbitoj-sokoladnoj-glazuri-15-molocnyj-znak-80g-4320862,False,False,False,False,False,True,False,0.528,1.121,0.578
139,"Мороженое Aice Хрустящие Шарики, 60г",149.99,60.0,249.98,4.68,40,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-hrustasie-sariki-60g-4437407,False,False,False,False,False,True,False,1.124,0.541,0.569
140,"Пломбир Monterra ванильный ведёрко 14%, 252г",539.99,480.0,112.5,4.73,192,https://www.perekrestok.ru/cat/321/p/plombir-monterra-vanilnyj-vederko-14-252g-4252322,True,False,False,False,False,False,False,0.703,0.855,0.569
141,"Мороженое сливочное 48 Копеек шоколадное с шоколадным соусом 8%, 232г",179.99,232.0,77.58,4.91,4951,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-48-kopeek-sokoladnoe-s-sokoladnym-sousom-8-232g-4048583,False,False,True,False,False,False,False,0.525,1.093,0.563
142,"Пломбир Филевская Лакомка в шоколадной глазури 15%, 90г",83.99,90.0,93.32,4.91,12048,https://www.perekrestok.ru/cat/1601/p/plombir-filevskaa-lakomka-v-sokoladnoj-glazuri-15-90g-66259,False,False,False,False,False,True,False,0.419,1.368,0.563
143,"Мороженое Мятное с тыквой протеиновое 0.6% Зелёная Линия, 75г",164.99,75.0,219.99,5.0,9,https://www.perekrestok.ru/cat/421/p/morozenoe-matnoe-s-tykvoj-proteinovoe-0-6-zelenaa-linia-75g-4430485,False,False,False,True,False,False,True,1.25,0.44,0.55
144,"МороженоеTonitto Genovese ванильно-шоколадное с вишнёвыми прослойками и цукатами вишни, 500г",1299.0,1000.0,129.9,4.67,84,https://www.perekrestok.ru/cat/321/p/morozenoetonitto-genovese-vanilno-sokoladnoe-s-visnevymi-proslojkami-i-cukatami-visni-500g-4389265,True,False,False,False,False,False,False,0.812,0.722,0.548
145,"Лёд фруктовый Бон Пари Арбузик, 67г",69.99,73.0,95.88,4.88,7437,https://www.perekrestok.ru/cat/1601/p/led-fruktovyj-bon-pari-arbuzik-67g-4212279,False,False,False,False,False,True,False,0.431,1.298,0.546
146,"Мороженое Чистая Линия Сладкая Малина Эскимо пломбир с ароматом ванили с малиновым наполнителем в глазури с ароматом малины и кусочками малины 12%, 62г",154.99,62.0,249.98,4.93,28,https://www.perekrestok.ru/cat/421/p/morozenoe-cistaa-linia-sladkaa-malina-eskimo-plombir-s-aromatom-vanili-s-malinovym-napolnitelem-v-glazuri-s-aromatom-maliny-i-kusockami-maliny-12-62g-4449723,False,False,False,False,False,True,False,1.124,0.49,0.543
147,"Мороженое Bombbar Эскимо молочное шоколадное со вкусом Шоколадный брауни протеиновое 6%, 70г",164.99,70.0,235.7,5.0,7,https://www.perekrestok.ru/cat/421/p/morozenoe-bombbar-eskimo-molocnoe-sokoladnoe-so-vkusom-sokoladnyj-brauni-proteinovoe-6-70g-4398401,False,False,False,False,False,True,True,1.339,0.397,0.532
148,"Мороженое Молочный знак Пломбир крем-брюле в вафельном стаканчике 12%, 70г",47.99,70.0,68.56,4.82,7182,https://www.perekrestok.ru/cat/321/p/morozenoe-molocnyj-znak-plombir-krem-brule-v-vafelnom-stakancike-12-70g-4289044,False,True,False,False,False,False,False,0.489,1.12,0.528
149,"Мороженое сливочное Sunreme малина-банан рожок в глазури 8%, 78г",79.99,120.0,66.66,4.91,7091,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-sunreme-malina-banan-rozok-v-glazuri-8-78g-4239014,False,True,False,False,False,False,False,0.476,1.118,0.523
